Transaction_Date,Price,Transaction_Type,Property_Type,Area_sqft,Location,Floor,Age_of_Property,Number_of_Rooms,Number_of_Bathrooms,Amenities,Orientation,Condition,Inflation_Rate,Interest_Rate,Exchange_Rate,Economic_Condition,Crime_Rate,Region_Average_Price,Days_on_Market
2019-02-26 00:47:40.126012601,3585274.0,Rent,Land,13807.0,Business Bay,38.0,46.0,8.0,3.0,"Pool, Elevator",South,Under Construction,2.32,5.06,3.71,Stable,2.86,7258481.0,272.0
2019-02-26 05:10:29.702970297,8174466.0,Sale,Land,14876.0,Jumeirah,,36.0,5.0,3.0,Parking,East,Under Construction,3.73,2.36,3.85,Stable,8.84,2922054.0,220.0
2019-02-26 09:33:19.279927993,1342347.0,Sale,Penthouse,1850.0,Business Bay,3.0,23.0,,5.0,"Parking, Gym",West,Under Construction,3.27,2.5,3.6,Stable,7.37,10395368.0,325.0
2019-02-26 13:56:08.856885689,1178760.0,Sale,Villa,13957.0,Business Bay,0.0,19.0,3.0,2.0,"Elevator, Garden, Pool, Gym",East,Under Construction,2.14,4.37,3.61,Recession,2.45,3226965.0,317.0
2019-02-26 18:18:58.433843384,4894134.0,Sale,Townhouse,2343.0,Business Bay,4.0,8.0,6.0,,"Elevator, Garden, Gym, Parking, Pool",West,Renovated,1.76,4.04,3.63,Recession,7.16,9632967.0,157.0
2019-02-26 22:41:48.010801080,11528313.0,Rent,Villa,14368.0,Palm Jumeirah,40.0,1.0,,3.0,Gym,North,New,3.65,3.76,3.69,,3.18,1077518.0,216.0
2019-02-27 03:04:37.587758776,7769005.0,nan,Villa,8135.0,Dubai Marina,5.0,6.0,7.0,2.0,"Elevator, Pool",East,Renovated,2.06,5.0,3.67,Stable,7.88,6744017.0,38.0
2019-02-27 07:27:27.164716472,6160273.0,Rent,Villa,9619.0,,11.0,45.0,4.0,2.0,"Gym, Elevator",East,New,1.73,4.27,3.53,Recession,6.9,2894804.0,12.0
2019-02-27 11:50:16.741674167,14581857.0,Rent,Land,14380.0,Palm Jumeirah,5.0,39.0,2.0,5.0,"Elevator, Parking, Gym, Garden, Pool",South,Renovated,4.81,5.42,3.61,Stable,3.9,13636132.0,56.0
2019-02-27 16:13:06.318631863,6193230.0,Rent,Villa,5951.0,Business Bay,48.0,1.0,,,Parking,West,New,3.88,5.79,3.77,Growth,9.94,7110217.0,243.0
2019-02-27 20:35:55.895589559,2572659.0,Sale,Apartment,14441.0,Palm Jumeirah,3.0,25.0,4.0,,"Garden, Parking, Gym",South,New,4.55,4.45,3.98,Recession,1.63,3361919.0,202.0
2019-02-28 00:58:45.472547255,12849849.0,Sale,Townhouse,1648.0,Palm Jumeirah,41.0,2.0,,5.0,"Parking, Garden, Gym",South,Renovated,1.63,4.14,3.63,Stable,7.14,5249515.0,210.0
2019-02-28 05:21:35.049504950,10951358.0,Rent,Villa,6182.0,Jumeirah,26.0,18.0,2.0,1.0,"Pool, Garden, Gym, Parking",West,Needs Renovation,4.23,,3.65,,4.08,11208794.0,85.0
2019-02-28 09:44:24.626462646,6948622.0,nan,Villa,14529.0,Downtown Dubai,36.0,48.0,9.0,2.0,"Elevator, Pool, Gym, Garden",South,New,2.25,2.4,3.9,Stable,0.62,9654444.0,180.0
2019-02-28 14:07:14.203420342,5235638.0,nan,Penthouse,12987.0,Jumeirah,20.0,26.0,9.0,4.0,"Pool, Elevator",North,New,4.29,3.94,3.84,Growth,4.94,881809.0,41.0
2019-02-28 18:30:03.780378038,2939511.0,nan,Townhouse,2230.0,Business Bay,41.0,14.0,,2.0,"Elevator, Garden, Pool",South,Renovated,,4.12,3.5,Growth,9.37,6672214.0,55.0
2019-02-28 22:52:53.357335734,5836621.0,Rent,Penthouse,11262.0,Downtown Dubai,36.0,7.0,2.0,1.0,"Garden, Parking, Pool, Elevator, Gym",South,Needs Renovation,4.4,,3.68,Recession,5.79,12345149.0,70.0
2019-03-01 03:15:42.934293429,14965319.0,Sale,Land,2380.0,Downtown Dubai,22.0,5.0,1.0,,Garden,North,New,3.6,3.89,3.93,Stable,5.48,7997064.0,165.0
2019-03-01 07:38:32.511251125,3435402.0,nan,Townhouse,14185.0,Dubai Marina,39.0,48.0,2.0,3.0,"Pool, Garden",South,Renovated,2.58,4.09,3.69,Growth,5.62,3688825.0,178.0
2019-03-01 12:01:22.088208821,5611711.0,Rent,Penthouse,13088.0,Palm Jumeirah,36.0,31.0,,,"Elevator, Parking",nan,New,1.25,5.88,3.86,Stable,,,319.0
2019-03-01 16:24:11.665166517,13409703.0,Rent,Townhouse,803.0,Downtown Dubai,,44.0,5.0,3.0,"Pool, Parking, Elevator, Gym",East,Needs Renovation,,3.85,3.56,Stable,6.69,8793998.0,77.0
2019-03-01 20:47:01.242124212,3927736.0,,Townhouse,3249.0,Downtown Dubai,28.0,46.0,3.0,2.0,"Elevator, Parking",North,Under Construction,1.53,4.6,3.51,Stable,3.77,,253.0
2019-03-02 01:09:50.819081908,9708278.0,Sale,Townhouse,13120.0,Business Bay,9.0,42.0,,2.0,"Parking, Elevator, Gym, Pool",South,Under Construction,2.74,5.59,3.79,Stable,,11862247.0,189.0
2019-03-02 05:32:40.396039604,13414574.0,Sale,Land,4408.0,Downtown Dubai,25.0,48.0,2.0,1.0,Parking,nan,Renovated,,5.65,3.71,Stable,0.99,13329544.0,230.0
2019-03-02 09:55:29.972997300,13635586.0,Rent,Townhouse,6933.0,Downtown Dubai,8.0,34.0,4.0,5.0,"Gym, Pool, Parking",North,Renovated,,5.05,3.91,,7.18,,99.0
2019-03-02 14:18:19.549954995,10793500.0,Sale,Villa,595.0,Jumeirah,28.0,10.0,,4.0,Pool,nan,Under Construction,1.17,,3.62,Growth,7.69,7046165.0,334.0
2019-03-02 18:41:09.126912691,14374303.0,Sale,Land,6141.0,Downtown Dubai,28.0,47.0,6.0,1.0,"Gym, Garden, Pool, Elevator",East,Needs Renovation,,,3.94,Recession,3.29,3496793.0,355.0
2019-03-02 23:03:58.703870387,3246027.0,Sale,Apartment,2392.0,Dubai Marina,18.0,38.0,6.0,3.0,"Pool, Elevator, Parking, Garden",West,New,4.58,2.59,3.91,Recession,,3284715.0,228.0
2019-03-03 03:26:48.280828083,11207903.0,,Townhouse,4262.0,Business Bay,,45.0,,4.0,"Elevator, Garden",East,Renovated,2.69,4.79,3.96,Stable,0.37,2384542.0,236.0
2019-03-03 07:49:37.857785779,840247.0,Sale,Penthouse,10274.0,Palm Jumeirah,31.0,9.0,,5.0,"Parking, Garden, Elevator, Pool",East,New,2.57,5.0,3.92,Recession,2.47,2092702.0,316.0
2019-03-03 12:12:27.434743474,11639387.0,Sale,Penthouse,4247.0,Dubai Marina,43.0,24.0,9.0,2.0,Gym,North,New,1.9,4.92,3.54,Stable,3.41,2021256.0,87.0
2019-03-03 16:35:17.011701170,5613559.0,Sale,Villa,4583.0,Jumeirah,31.0,24.0,5.0,1.0,"Pool, Gym, Elevator",East,Renovated,1.15,5.63,3.72,Recession,2.51,7045675.0,140.0
2019-03-03 20:58:06.588658866,12815403.0,Sale,Land,7905.0,Business Bay,4.0,32.0,,5.0,"Gym, Pool, Garden, Elevator, Parking",North,Under Construction,1.25,4.27,3.73,Stable,9.71,1338756.0,106.0
2019-03-04 01:20:56.165616562,7234488.0,Sale,Land,11597.0,Jumeirah,17.0,41.0,7.0,2.0,"Gym, Parking, Garden, Elevator, Pool",East,Under Construction,1.6,4.19,3.88,Stable,4.03,,191.0
2019-03-04 05:43:45.742574257,2739254.0,Rent,Land,3601.0,,1.0,45.0,7.0,1.0,"Elevator, Gym, Parking, Pool",nan,Under Construction,,3.51,3.5,,0.79,6490853.0,196.0
2019-03-04 10:06:35.319531953,5854024.0,,Land,8374.0,Jumeirah,3.0,11.0,8.0,,Pool,North,Needs Renovation,3.7,,3.63,,,9830671.0,11.0
2019-03-04 14:29:24.896489649,2810137.0,Sale,Land,6108.0,Jumeirah,29.0,17.0,7.0,3.0,"Elevator, Garden, Pool, Parking, Gym",South,Needs Renovation,1.25,4.28,3.59,Stable,5.29,,98.0
2019-03-04 18:52:14.473447345,13595405.0,Rent,Land,4052.0,Downtown Dubai,5.0,27.0,3.0,2.0,"Pool, Gym",South,Under Construction,4.29,4.01,3.55,Recession,9.3,5051120.0,220.0
2019-03-04 23:15:04.050405040,10736590.0,Sale,Villa,5680.0,Downtown Dubai,39.0,38.0,,3.0,"Gym, Pool, Elevator, Parking",nan,Under Construction,4.73,3.28,3.71,Stable,0.28,,250.0
2019-03-05 03:37:53.627362736,8378453.0,Sale,Townhouse,1284.0,,17.0,4.0,,3.0,"Pool, Elevator, Garden, Parking",East,Needs Renovation,3.95,5.58,3.5,Growth,1.33,9781213.0,140.0
2019-03-05 08:00:43.204320432,11481744.0,Sale,Villa,12733.0,Palm Jumeirah,49.0,28.0,8.0,5.0,Gym,South,Under Construction,2.67,4.94,3.87,Stable,4.78,11299836.0,203.0
2019-03-05 12:23:32.781278128,1854480.0,Sale,Villa,7284.0,Dubai Marina,4.0,11.0,2.0,1.0,"Elevator, Garden, Parking, Pool, Gym",East,Needs Renovation,2.42,3.83,3.66,Growth,4.18,4791517.0,49.0
2019-03-05 16:46:22.358235824,7030424.0,,Land,838.0,Palm Jumeirah,47.0,32.0,2.0,1.0,"Elevator, Gym, Parking, Pool, Garden",nan,Needs Renovation,4.69,4.07,3.71,,2.71,,343.0
2019-03-05 21:09:11.935193519,10854846.0,Sale,Apartment,11638.0,Palm Jumeirah,,13.0,,3.0,Parking,West,Under Construction,3.21,4.74,3.83,Stable,,11556971.0,161.0
2019-03-06 01:32:01.512151215,10457464.0,Rent,Apartment,2589.0,,41.0,18.0,1.0,5.0,"Garden, Pool, Elevator, Gym, Parking",East,Under Construction,2.57,2.92,4.0,Growth,0.48,14415888.0,230.0
2019-03-06 05:54:51.089108911,5041415.0,nan,Villa,1204.0,Business Bay,32.0,27.0,5.0,3.0,"Gym, Pool, Garden, Elevator",nan,Renovated,1.89,4.85,3.65,Recession,8.24,3590690.0,200.0
2019-03-06 10:17:40.666066607,2381379.0,Rent,Townhouse,14914.0,Business Bay,7.0,11.0,1.0,,"Garden, Parking, Pool, Gym, Elevator",South,Needs Renovation,3.66,3.95,3.71,Recession,4.37,,161.0
2019-03-06 14:40:30.243024302,13329417.0,,Land,2164.0,Business Bay,29.0,31.0,2.0,1.0,"Pool, Gym, Elevator",North,Under Construction,1.27,5.91,3.88,Recession,5.16,13265901.0,359.0
2019-03-06 19:03:19.819981998,4892169.0,Rent,Townhouse,14175.0,Dubai Marina,3.0,35.0,4.0,1.0,"Parking, Elevator, Garden, Gym, Pool",South,New,3.73,5.05,3.51,Recession,0.94,,19.0
2019-03-06 23:26:09.396939694,3670598.0,Sale,Villa,12798.0,Palm Jumeirah,44.0,15.0,,1.0,"Garden, Gym, Parking, Pool, Elevator",West,Under Construction,4.23,5.08,3.89,Growth,4.16,2829188.0,136.0
2019-03-07 03:48:58.973897390,4689281.0,Rent,Villa,8594.0,Dubai Marina,33.0,4.0,9.0,2.0,"Parking, Pool, Garden, Gym",West,Renovated,3.77,5.64,4.0,Growth,9.56,2843947.0,277.0
2019-03-07 08:11:48.550855085,2006493.0,Sale,Townhouse,3850.0,Business Bay,34.0,41.0,5.0,,"Garden, Gym, Parking, Elevator",North,Renovated,3.23,2.96,3.68,Stable,9.88,1651962.0,245.0
2019-03-07 12:34:38.127812781,11803431.0,Rent,Townhouse,2987.0,Business Bay,44.0,4.0,6.0,5.0,"Pool, Elevator, Garden",North,Needs Renovation,3.95,4.94,3.88,Recession,4.29,,254.0
2019-03-07 16:57:27.704770477,10701503.0,Sale,Penthouse,563.0,Dubai Marina,31.0,38.0,9.0,4.0,"Pool, Parking, Gym, Garden, Elevator",South,Under Construction,4.21,4.36,3.77,Stable,8.38,4013737.0,223.0
2019-03-07 21:20:17.281728173,14195518.0,,Villa,13964.0,Jumeirah,23.0,35.0,6.0,,Garden,East,Renovated,4.45,3.39,3.7,,3.95,13955167.0,320.0
2019-03-08 01:43:06.858685869,4996035.0,Rent,Apartment,4765.0,Downtown Dubai,40.0,16.0,1.0,4.0,"Elevator, Parking, Pool",West,Renovated,4.3,4.97,3.88,Stable,5.2,1326212.0,216.0
2019-03-08 06:05:56.435643564,12505450.0,Rent,Villa,3645.0,Dubai Marina,18.0,41.0,3.0,4.0,"Gym, Parking, Pool",North,New,4.84,3.25,3.75,Growth,2.34,2215864.0,158.0
2019-03-08 10:28:46.012601260,14702339.0,Sale,Land,2681.0,Palm Jumeirah,18.0,6.0,8.0,,"Garden, Pool",nan,New,1.74,2.6,3.78,Stable,5.48,10316864.0,198.0
2019-03-08 14:51:35.589558956,10424861.0,Sale,Townhouse,9847.0,Business Bay,48.0,33.0,3.0,4.0,"Garden, Pool, Parking, Elevator, Gym",East,Needs Renovation,2.41,5.72,3.59,Recession,9.99,,49.0
2019-03-08 19:14:25.166516652,1038887.0,Sale,Penthouse,2799.0,Jumeirah,15.0,49.0,1.0,2.0,"Garden, Parking",East,Under Construction,3.08,4.08,3.77,Recession,2.92,14694503.0,300.0
2019-03-08 23:37:14.743474347,7856056.0,Sale,Apartment,14691.0,Palm Jumeirah,15.0,10.0,5.0,5.0,"Pool, Garden",East,Needs Renovation,1.48,3.7,3.57,Stable,6.53,4880415.0,49.0
2019-03-09 04:00:04.320432043,2466145.0,Sale,Penthouse,13379.0,Palm Jumeirah,41.0,37.0,5.0,2.0,"Pool, Garden, Gym, Parking, Elevator",North,Renovated,3.3,,3.73,Growth,2.08,6597063.0,110.0
2019-03-09 08:22:53.897389739,1189648.0,Rent,Apartment,13202.0,Downtown Dubai,19.0,26.0,7.0,4.0,"Gym, Pool",West,Needs Renovation,3.12,4.57,3.63,,3.81,3735596.0,320.0
2019-03-09 12:45:43.474347435,5573758.0,,Townhouse,2930.0,Jumeirah,8.0,23.0,5.0,5.0,"Elevator, Garden",East,Renovated,,,3.57,Stable,3.88,,113.0
2019-03-09 17:08:33.051305130,13234948.0,Sale,Apartment,10258.0,Palm Jumeirah,5.0,37.0,7.0,1.0,"Garden, Pool, Parking, Gym, Elevator",West,Needs Renovation,4.96,2.61,3.85,Stable,1.59,12861457.0,339.0
2019-03-09 21:31:22.628262826,12306914.0,Rent,Penthouse,2975.0,Downtown Dubai,43.0,12.0,,3.0,"Pool, Garden",South,New,,5.42,3.59,Stable,9.55,5997529.0,360.0
2019-03-10 01:54:12.205220522,13041336.0,Sale,Townhouse,6481.0,,39.0,22.0,6.0,2.0,Gym,South,New,3.99,3.73,3.63,Stable,9.51,4664487.0,237.0
2019-03-10 06:17:01.782178218,5512083.0,,Land,11501.0,Jumeirah,38.0,41.0,5.0,3.0,Gym,North,Renovated,1.46,2.01,3.96,Stable,3.78,,70.0
2019-03-10 10:39:51.359135914,3898492.0,Rent,Apartment,12701.0,Palm Jumeirah,10.0,32.0,,3.0,Elevator,West,New,3.72,3.82,3.89,Stable,5.44,7280107.0,93.0
2019-03-10 15:02:40.936093609,3313218.0,Sale,Townhouse,11206.0,Jumeirah,16.0,32.0,9.0,5.0,"Elevator, Gym, Garden, Parking",North,Needs Renovation,1.15,2.39,3.82,,0.87,,18.0
2019-03-10 19:25:30.513051305,6207103.0,Sale,Villa,10008.0,Downtown Dubai,37.0,17.0,4.0,2.0,"Parking, Garden",West,Needs Renovation,,5.2,3.88,Growth,3.12,8950416.0,269.0
2019-03-10 23:48:20.090009001,3178071.0,Rent,Penthouse,6529.0,Dubai Marina,8.0,31.0,3.0,4.0,Pool,North,Under Construction,1.91,5.53,3.72,,5.72,8928147.0,313.0
2019-03-11 04:11:09.666966697,1509482.0,nan,Townhouse,2313.0,Palm Jumeirah,47.0,41.0,9.0,1.0,"Garden, Elevator, Parking, Pool",North,Needs Renovation,2.4,4.96,3.74,Stable,8.74,5705244.0,310.0
2019-03-11 08:33:59.243924392,12437617.0,Rent,Villa,3305.0,Palm Jumeirah,47.0,16.0,,5.0,"Elevator, Parking, Pool, Gym, Garden",East,Under Construction,3.65,4.75,3.55,Stable,3.37,2351948.0,330.0
2019-03-11 12:56:48.820882088,2478727.0,Rent,Land,3358.0,Jumeirah,31.0,44.0,8.0,3.0,"Pool, Elevator, Parking",South,Under Construction,4.28,5.33,3.87,Stable,0.9,,119.0
2019-03-11 17:19:38.397839784,9554898.0,Rent,Penthouse,8881.0,Downtown Dubai,13.0,12.0,5.0,1.0,"Garden, Parking",North,Under Construction,3.61,3.65,3.97,Stable,6.89,1114622.0,206.0
2019-03-11 21:42:27.974797480,9508914.0,,Penthouse,1858.0,Jumeirah,28.0,27.0,,1.0,"Elevator, Parking",West,Renovated,4.39,2.6,3.59,Recession,5.49,13652652.0,172.0
2019-03-12 02:05:17.551755176,8722975.0,Rent,Villa,7333.0,Jumeirah,28.0,11.0,,3.0,"Parking, Gym, Elevator, Pool, Garden",South,Needs Renovation,2.97,2.48,3.76,Recession,0.94,4390395.0,25.0
2019-03-12 06:28:07.128712871,13846133.0,Sale,Land,1555.0,Dubai Marina,47.0,42.0,3.0,1.0,"Gym, Parking, Elevator, Pool, Garden",North,Under Construction,4.55,5.64,3.95,Recession,6.44,3551782.0,177.0
2019-03-12 10:50:56.705670567,4329594.0,Sale,Apartment,1180.0,Dubai Marina,12.0,8.0,8.0,,"Garden, Gym, Parking, Elevator",North,Renovated,3.16,3.65,3.81,Recession,4.86,13708599.0,1.0
2019-03-12 15:13:46.282628263,2454939.0,nan,Townhouse,11004.0,Business Bay,31.0,41.0,9.0,5.0,"Parking, Garden",South,New,2.52,,3.86,Stable,4.38,1219222.0,27.0
2019-03-12 19:36:35.859585959,13965671.0,,Apartment,12854.0,Business Bay,,38.0,1.0,4.0,"Elevator, Garden, Parking",West,New,3.1,3.34,3.78,Recession,8.86,3295984.0,8.0
2019-03-12 23:59:25.436543654,5464910.0,Rent,Villa,13513.0,Palm Jumeirah,11.0,16.0,1.0,4.0,"Parking, Gym, Elevator, Pool",West,New,2.62,3.04,3.82,Recession,0.71,14103846.0,23.0
2019-03-13 04:22:15.013501350,1741584.0,Sale,Land,14137.0,Downtown Dubai,27.0,21.0,9.0,4.0,Elevator,West,Needs Renovation,2.74,5.13,3.82,Growth,,10056482.0,280.0
2019-03-13 08:45:04.590459046,12337130.0,Sale,Townhouse,2025.0,Business Bay,9.0,35.0,7.0,5.0,"Gym, Pool",nan,Renovated,3.5,5.4,3.64,Recession,8.02,1578311.0,246.0
2019-03-13 13:07:54.167416742,9524392.0,Sale,Townhouse,9520.0,Palm Jumeirah,35.0,42.0,5.0,1.0,"Gym, Parking, Pool, Garden, Elevator",East,Under Construction,2.02,2.57,3.54,Stable,7.1,,352.0
2019-03-13 17:30:43.744374437,3688003.0,Sale,Penthouse,7017.0,Downtown Dubai,49.0,2.0,5.0,4.0,"Garden, Gym, Elevator",East,New,2.04,2.13,3.75,Recession,2.6,4839794.0,235.0
2019-03-13 21:53:33.321332133,7629760.0,Sale,Apartment,11690.0,Dubai Marina,41.0,10.0,,4.0,"Elevator, Parking",East,New,3.77,,3.69,Growth,7.31,,345.0
2019-03-14 02:16:22.898289829,13296614.0,Rent,Townhouse,5891.0,Jumeirah,24.0,24.0,5.0,5.0,"Pool, Gym",West,New,3.9,,3.83,Recession,6.09,1816199.0,24.0
2019-03-14 06:39:12.475247525,7565967.0,Sale,Townhouse,3016.0,Palm Jumeirah,31.0,9.0,,4.0,"Gym, Parking, Elevator, Garden, Pool",West,Under Construction,4.33,2.11,3.58,Growth,3.26,10405276.0,167.0
2019-03-14 11:02:02.052205221,3919552.0,Rent,Land,7067.0,Jumeirah,,25.0,,1.0,Garden,North,Renovated,,2.61,3.75,Growth,9.16,,188.0
2019-03-14 15:24:51.629162916,7590960.0,Sale,Townhouse,2779.0,,40.0,16.0,6.0,5.0,"Garden, Pool, Parking, Gym",nan,Under Construction,3.41,2.55,3.65,Recession,9.1,,104.0
2019-03-14 19:47:41.206120612,10506361.0,Sale,Villa,6007.0,Dubai Marina,8.0,11.0,5.0,3.0,"Elevator, Garden, Gym, Pool",South,Under Construction,2.07,4.35,3.52,,4.22,8390964.0,135.0
2019-03-15 00:10:30.783078308,3269400.0,Rent,Penthouse,3011.0,Dubai Marina,13.0,8.0,,3.0,"Garden, Gym, Elevator, Pool, Parking",West,New,1.03,2.87,3.95,Recession,6.8,,187.0
2019-03-15 04:33:20.360036004,14293081.0,Rent,Penthouse,4854.0,Business Bay,9.0,3.0,3.0,1.0,Garden,East,New,4.04,3.65,3.6,,4.86,651058.0,219.0
2019-03-15 08:56:09.936993699,5763297.0,nan,Townhouse,3729.0,Downtown Dubai,15.0,17.0,,3.0,"Garden, Elevator, Pool, Gym, Parking",West,New,2.34,2.34,3.55,Stable,2.44,14746722.0,97.0
2019-03-15 13:18:59.513951395,2885809.0,Sale,Land,3255.0,Jumeirah,31.0,27.0,5.0,3.0,Pool,South,New,3.51,5.35,3.93,Stable,3.29,12870936.0,113.0
2019-03-15 17:41:49.090909091,12071488.0,Sale,Land,5852.0,Business Bay,34.0,4.0,7.0,3.0,"Parking, Gym, Garden, Elevator",South,Needs Renovation,1.02,5.7,3.71,Growth,7.96,,347.0
2019-03-15 22:04:38.667866787,4035819.0,Rent,Townhouse,2459.0,Jumeirah,13.0,4.0,5.0,4.0,"Gym, Parking, Pool, Garden, Elevator",West,Under Construction,3.6,5.45,4.0,Growth,3.96,11403730.0,26.0
2019-03-16 02:27:28.244824482,941631.0,Sale,Villa,6595.0,,5.0,44.0,7.0,1.0,"Gym, Pool, Garden, Elevator",East,Under Construction,1.16,5.79,3.73,Recession,5.61,5096063.0,279.0
2019-03-16 06:50:17.821782178,6314947.0,Sale,Villa,3455.0,Downtown Dubai,48.0,27.0,7.0,3.0,Parking,South,Needs Renovation,3.09,3.82,3.77,Growth,4.9,,291.0
2019-03-16 11:13:07.398739874,6604225.0,Rent,Land,8065.0,Dubai Marina,2.0,26.0,4.0,2.0,Elevator,South,Under Construction,4.02,,3.54,Growth,5.31,9350604.0,261.0
2019-03-16 15:35:56.975697570,7161625.0,Sale,Townhouse,3937.0,Palm Jumeirah,6.0,0.0,6.0,1.0,"Gym, Parking, Pool",West,Needs Renovation,3.02,3.28,3.96,Recession,,11804393.0,38.0
2019-03-16 19:58:46.552655266,3369993.0,Sale,Apartment,1446.0,Business Bay,19.0,9.0,2.0,1.0,"Parking, Gym, Pool",East,Under Construction,1.23,4.85,3.95,Growth,7.31,10445183.0,280.0
2019-03-17 00:21:36.129612961,6215263.0,Sale,Land,4574.0,Downtown Dubai,44.0,5.0,2.0,5.0,"Elevator, Parking",East,Needs Renovation,4.45,4.35,3.51,Recession,,,205.0
2019-03-17 04:44:25.706570657,8671629.0,Sale,Apartment,7627.0,Downtown Dubai,40.0,39.0,1.0,4.0,Pool,East,Needs Renovation,2.88,5.54,3.94,Stable,2.19,5457255.0,355.0
2019-03-17 09:07:15.283528353,14956424.0,Sale,Land,9868.0,Dubai Marina,2.0,26.0,6.0,3.0,Gym,West,Renovated,,3.6,3.67,Recession,0.72,,281.0
2019-03-17 13:30:04.860486049,2397197.0,Sale,Townhouse,1018.0,Palm Jumeirah,40.0,10.0,7.0,1.0,"Parking, Gym, Garden",nan,Renovated,2.43,5.28,3.57,Growth,,10590310.0,178.0
2019-03-17 17:52:54.437443744,4474579.0,Rent,Villa,6441.0,Downtown Dubai,40.0,19.0,4.0,2.0,"Gym, Parking, Garden, Pool, Elevator",nan,Needs Renovation,2.98,2.19,3.59,Stable,9.15,,275.0
2019-03-17 22:15:44.014401440,8793484.0,Rent,Land,3104.0,Palm Jumeirah,36.0,25.0,5.0,4.0,Gym,North,New,1.96,4.23,3.71,,9.09,7960251.0,217.0
2019-03-18 02:38:33.591359136,6312133.0,Sale,Apartment,8672.0,Downtown Dubai,15.0,6.0,9.0,4.0,"Elevator, Garden, Gym, Pool, Parking",North,Renovated,4.83,,3.72,Stable,8.17,7001468.0,74.0
2019-03-18 07:01:23.168316832,9155806.0,Sale,Land,10848.0,Palm Jumeirah,4.0,21.0,6.0,4.0,"Gym, Parking, Pool, Garden, Elevator",South,Needs Renovation,,4.66,3.81,Recession,,,26.0
2019-03-18 11:24:12.745274527,12198121.0,,Apartment,1563.0,Dubai Marina,39.0,5.0,5.0,5.0,"Pool, Parking, Elevator, Gym, Garden",nan,Under Construction,3.27,4.83,3.69,Recession,6.0,10143508.0,318.0
2019-03-18 15:47:02.322232223,9847501.0,Sale,Apartment,10951.0,Palm Jumeirah,14.0,39.0,7.0,2.0,"Elevator, Parking, Pool",North,Needs Renovation,4.88,2.71,3.88,Stable,5.79,13255183.0,133.0
2019-03-18 20:09:51.899189919,1068267.0,Sale,Townhouse,2313.0,Jumeirah,1.0,40.0,5.0,5.0,Gym,South,Under Construction,2.41,2.63,3.69,Growth,7.01,13847678.0,253.0
2019-03-19 00:32:41.476147615,5722648.0,Sale,Villa,8084.0,Jumeirah,2.0,38.0,7.0,4.0,"Pool, Garden, Gym",South,New,2.63,5.73,3.88,Recession,6.3,4673005.0,164.0
2019-03-19 04:55:31.053105311,1374947.0,Sale,Penthouse,8126.0,Dubai Marina,,45.0,,5.0,"Parking, Gym, Elevator, Garden",nan,New,1.94,4.87,3.64,Growth,,9756335.0,57.0
2019-03-19 09:18:20.630063006,12491957.0,Rent,Townhouse,14246.0,,43.0,27.0,,2.0,"Pool, Elevator, Garden, Parking, Gym",East,New,4.12,2.59,3.91,Growth,3.36,3009718.0,289.0
2019-03-19 13:41:10.207020702,6702655.0,Rent,Land,2156.0,Business Bay,3.0,0.0,7.0,2.0,"Elevator, Gym",North,Under Construction,4.11,2.46,3.95,Stable,4.36,3165409.0,318.0
2019-03-19 18:03:59.783978398,12685543.0,Rent,Townhouse,8316.0,,38.0,26.0,5.0,2.0,"Gym, Pool, Parking, Elevator",East,Renovated,3.74,2.46,3.75,Recession,5.56,5284093.0,140.0
2019-03-19 22:26:49.360936094,3405279.0,nan,Townhouse,8686.0,Downtown Dubai,16.0,18.0,3.0,1.0,"Elevator, Parking, Gym, Garden, Pool",North,Renovated,3.91,4.15,3.53,Stable,3.28,3440287.0,237.0
2019-03-20 02:49:38.937893789,9271080.0,,Townhouse,8459.0,Business Bay,26.0,46.0,6.0,1.0,"Pool, Gym, Garden",North,New,3.68,4.29,3.89,Recession,5.79,,325.0
2019-03-20 07:12:28.514851485,886152.0,Sale,Villa,12750.0,Dubai Marina,,44.0,5.0,4.0,"Garden, Pool, Parking, Elevator",South,New,2.33,,3.96,Recession,5.71,,324.0
2019-03-20 11:35:18.091809181,11282801.0,Sale,Villa,2593.0,Business Bay,43.0,30.0,5.0,4.0,"Pool, Garden, Parking, Elevator",South,Under Construction,2.08,4.13,3.88,Stable,1.85,11476197.0,173.0
2019-03-20 15:58:07.668766877,10875715.0,Sale,Apartment,2148.0,Jumeirah,1.0,21.0,9.0,4.0,"Pool, Parking, Garden, Elevator",North,New,1.61,5.98,3.65,Growth,3.34,,174.0
2019-03-20 20:20:57.245724572,6684344.0,Sale,Apartment,12263.0,,5.0,6.0,4.0,5.0,"Parking, Gym, Garden",nan,Under Construction,1.3,4.15,3.81,Stable,6.4,,94.0
2019-03-21 00:43:46.822682268,4237316.0,Rent,Villa,4984.0,Downtown Dubai,36.0,3.0,,4.0,Pool,East,New,3.47,2.07,3.55,Growth,3.5,9145456.0,72.0
2019-03-21 05:06:36.399639964,2853374.0,Rent,Penthouse,13262.0,Downtown Dubai,41.0,26.0,4.0,3.0,"Garden, Pool, Parking, Elevator",West,New,2.39,5.27,3.8,Growth,9.13,6248328.0,353.0
2019-03-21 09:29:25.976597660,1193975.0,Rent,Apartment,12694.0,Business Bay,,39.0,6.0,3.0,"Garden, Elevator, Gym, Parking, Pool",West,Under Construction,2.69,2.9,3.77,Recession,2.02,,290.0
